"5814,0,0,0",,,,
"3146,0,0,0",,,,
"3042,0,0,0",,,,
"5134,0,0,0",,,,
"5130,0,0,0",,,,
"4917,0,0,0",,,,
"5130,0,0,0",,,,
"5130,0,0,0",,,,
"5796,0,0,0",,,,
"5168,0,0,0",,,,
"5270,0,0,0",,,,
"3770,0,0,0",,,,
"7298,0,0,0",,,,
"6105,0,0,0",,,,
"5530,0,0,0",,,,
"4686,0,0,0",,,,
"5130,0,0,0",,,,
"5130,0,0,0",,,,
"5076,0,0,0",,,,
"5130,0,0,0",,,,
"5130,0,0,0",,,,
"4785,0,0,0",,,,
"3042,0,0,0",,,,
"4917,0,0,0",,,,
"5270,0,0,0",,,,
"14480,0,0,0",,,,
"13728,0,0,0",,,,
"4785,0,0,0",,,,
"4818,0,0,0",,,,
"15876,0,0,0",,,,
"3042,0,0,0",,,,
"3068,0,0,0",,,,
"14742,0,0,0",,,,
"5168,0,0,0",,,,
"3094,0,0,0",,,,
"16150,0,0,0",,,,
"4818,0,0,0",,,,
"15088,0,0,0",,,,
"14062,0,0,0",,,,
"5130,0,0,0",,,,
"3120,0,0,0",,,,
"14400,0,0,0",,,,
"4608,0,0,0",,,,
"13244,0,0,0",,,,
"12750,0,0,0",,,,
"5130,0,0,0",,,,
"12284,0,0,0",,,,
"3042,0,0,0",,,,
"3146,0,0,0",,,,
"12844,0,0,0",,,,
"12768,0,0,0",,,,
"12936,0,0,0",,,,
"4917,0,0,0",,,,
"11376,0,0,0",,,,
"10419,1,1,0",,,,
"10500,1,2,0",,,,
"10064,1,3,0",,,,
"9438,1,4,0",,,,
"9306,1,5,0",,,,
"3042,1,6,0",,,,
"5130,1,7,0",,,,
"9306,1,8,0",,,,
"8184,1,9,0",,,,
"8576,1,10,0",,,,
"5130,0,0,0",,,,
"3042,0,0,0",,,,
"7998,0,0,0",,,,
"7998,0,0,0",,,,
"5130,0,0,0",,,,
"8253,0,0,0",,,,
"7560,0,0,0",,,,
"7998,0,0,0",,,,
"5130,0,0,0",,,,
"8127,0,0,0",,,,
"4917,0,0,0",,,,
"7688,0,0,0",,,,
"5130,0,0,0",,,,
"5076,0,0,0",,,,
"7442,0,0,0",,,,
"7381,0,0,0",,,,
"6962,0,0,0",,,,
"6962,0,0,0",,,,
"7080,0,0,0",,,,
"6384,0,0,0",,,,
"5995,0,0,0",,,,
"5616,0,0,0",,,,
"5356,0,0,0",,,,
"5130,0,0,0",,,,
"5512,0,0,0",,,,
"5832,0,0,0",,,,
"5778,0,0,0",,,,
"5088,0,0,0",,,,
"4917,0,0,0",,,,
"5130,0,0,0",,,,
"4917,0,0,0",,,,
"4917,0,0,0",,,,
"5130,0,0,0",,,,
"5168,0,0,0",,,,
"3042,0,0,0",,,,
"5130,0,0,0",,,,
"5130,0,0,0",,,,
"4917,0,0,0",,,,
"5130,0,0,0",,,,
"5130,0,0,0",,,,
"5406,0,0,0",,,,
"5778,0,0,0",,,,
"6612,0,0,0",,,,
"6384,0,0,0",,,,
"6612,0,0,0",,,,
"6384,0,0,0",,,,
"5130,0,0,0",,,,
"6272,0,0,0",,,,
"7200,0,0,0",,,,
"7503,0,0,0",,,,
"7812,0,0,0",,,,
