"3146,0,0,0",,,,
"4284,0,0,0",,,,
"4480,0,0,0",,,,
"4572,0,0,0",,,,
"4644,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"17139,0,0,0",,,,
"4902,0,0,0",,,,
"17139,0,0,0",,,,
"4480,0,0,0",,,,
"17139,0,0,0",,,,
"16235,0,0,0",,,,
"16320,0,0,0",,,,
"16684,0,0,0",,,,
"16235,0,0,0",,,,
"15088,0,0,0",,,,
"17139,0,0,0",,,,
"17139,0,0,0",,,,
"14141,0,0,0",,,,
"4480,0,0,0",,,,
"10863,0,0,0",,,,
"10863,0,0,0",,,,
"9240,0,0,0",,,,
"4572,0,0,0",,,,
"4480,0,0,0",,,,
"8640,0,0,0",,,,
"8640,0,0,0",,,,
"4480,0,0,0",,,,
"12782,0,0,0",,,,
"12859,0,0,0",,,,
"13728,0,0,0",,,,
"15023,0,0,0",,,,
"4480,0,0,0",,,,
"15106,0,0,0",,,,
"13728,0,0,0",,,,
"14742,0,0,0",,,,
"15792,0,0,0",,,,
"15006,0,0,0",,,,
"14480,0,0,0",,,,
"14400,0,0,0",,,,
"15521,0,0,0",,,,
"15876,0,0,0",,,,
"16235,0,0,0",,,,
"16235,0,0,0",,,,
"16512,0,0,0",,,,
"17139,0,0,0",,,,
"16598,0,0,0",,,,
"4480,0,0,0",,,,
"3720,0,0,0",,,,
"3321,0,0,0",,,,
"6981,0,0,0",,,,
"3146,0,0,0",,,,
"4352,0,0,0",,,,
"4318,0,0,0",,,,
"4318,0,0,0",,,,
"4318,0,0,0",,,,
"18270,0,0,0",,,,
"18655,0,0,0",,,,
"16684,0,0,0",,,,
"16512,0,0,0",,,,
"15521,0,0,0",,,,
"15604,0,0,0",,,,
"4480,0,0,0",,,,
"15088,0,0,0",,,,
"15023,0,0,0",,,,
"14678,0,0,0",,,,
"4572,0,0,0",,,,
"4480,0,0,0",,,,
"15996,0,0,0",,,,
"4480,0,0,0",,,,
"13920,0,0,0",,,,
"12782,0,0,0",,,,
"4480,0,0,0",,,,
"12474,0,0,0",,,,
"11544,0,0,0",,,,
"4480,0,0,0",,,,
"11242,0,0,0",,,,
"4480,0,0,0",,,,
"11016,0,0,0",,,,
"4480,0,0,0",,,,
"10872,0,0,0",,,,
"4644,0,0,0",,,,
"9240,0,0,0",,,,
"8640,0,0,0",,,,
"8122,0,0,0",,,,
"8190,0,0,0",,,,
"4480,0,0,0",,,,
"8192,0,0,0",,,,
"4480,0,0,0",,,,
"8192,0,0,0",,,,
"4572,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4572,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4284,0,0,0",,,,
"4572,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4572,0,0,0",,,,
"4480,0,0,0",,,,
"5994,0,0,0",,,,
"6048,0,0,0",,,,
"9174,0,0,0",,,,
"4480,0,0,0",,,,
"6270,0,0,0",,,,
"6270,0,0,0",,,,
"4480,0,0,0",,,,
"9174,0,0,0",,,,
"8320,0,0,0",,,,
"4572,0,0,0",,,,
"4572,0,0,0",,,,
"8253,0,0,0",,,,
"4572,0,0,0",,,,
"4572,0,0,0",,,,
"8710,0,0,0",,,,
"4480,0,0,0",,,,
"8576,0,0,0",,,,
"4480,0,0,0",,,,
"8640,0,0,0",,,,
"4480,0,0,0",,,,
"9514,1,1,0",,,,
"4480,1,2,0",,,,
"10872,1,3,0",,,,
"4572,1,4,0",,,,
"10944,1,5,0",,,,
"4480,1,6,0",,,,
"10872,1,7,0",,,,
"4480,1,8,0",,,,
"4480,1,9,0",,,,
"11242,1,10,0",,,,
"11016,0,0,0",,,,
"12870,0,0,0",,,,
"4480,0,0,0",,,,
"12948,0,0,0",,,,
"4480,0,0,0",,,,
"13760,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4572,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"18270,0,0,0",,,,
"4480,0,0,0",,,,
"18270,0,0,0",,,,
"18090,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"4480,0,0,0",,,,
"3146,0,0,0",,,,
"3146,0,0,0",,,,
,,,,
RUN,SUCCESSFUL,(total,time:,49s)
